,episodes,mean_reward,std_reward,mean_steps,std_steps
0,20.0,0.0,0.0,200.0,0.0
1,221.0,0.0,0.0,200.0,0.0
2,458.0,2.0,0.0,200.0,0.0
3,694.0,2.0,0.0,200.0,0.0
4,931.0,0.0,0.0,200.0,0.0
5,1160.0,0.0,0.0,200.0,0.0
6,1387.0,0.0,0.0,200.0,0.0
7,1617.0,0.0,0.0,200.0,0.0
8,1867.0,0.0,0.0,200.0,0.0
9,2117.0,0.0,0.0,200.0,0.0
10,2349.0,2.0,0.0,200.0,0.0
11,2589.0,2.0,0.0,200.0,0.0
12,2826.0,2.0,0.0,200.0,0.0
13,3068.0,2.0,0.0,200.0,0.0
14,3305.0,0.0,0.0,200.0,0.0
15,3544.0,2.0,0.0,200.0,0.0
16,3777.0,2.8,0.39999999999999997,200.0,0.0
17,4019.0,2.1,0.3,200.0,0.0
18,4260.0,2.0,0.0,200.0,0.0
19,4490.0,0.0,0.0,200.0,0.0
20,4724.0,0.0,0.0,200.0,0.0
21,5204.0,3.0,0.0,200.0,0.0
22,5676.0,0.0,0.0,200.0,0.0
23,6154.0,3.0,0.0,200.0,0.0
24,6626.0,0.0,0.0,200.0,0.0
25,7096.0,0.0,0.0,200.0,0.0
26,7597.0,2.1,1.374772708486752,200.0,0.0
27,8091.0,0.6,0.9165151389911679,200.0,0.0
28,8568.0,0.9,1.374772708486752,200.0,0.0
29,9055.0,0.0,0.0,200.0,0.0
30,9542.0,0.0,0.0,200.0,0.0
