,episodes,mean_reward,std_reward,mean_steps,std_steps
0,24.0,1.0,0.0,200.0,0.0
1,234.0,2.0,0.0,200.0,0.0
2,462.0,1.0,0.0,200.0,0.0
3,692.0,1.0,0.0,200.0,0.0
4,936.0,1.0,0.0,200.0,0.0
5,1176.0,1.0,0.0,200.0,0.0
6,1418.0,1.0,0.0,200.0,0.0
7,1662.0,1.0,0.0,200.0,0.0
8,1905.0,1.0,0.0,200.0,0.0
9,2153.0,11.0,0.0,150.0,16.0
10,2397.0,1.2,0.4,200.0,0.0
11,2653.0,2.0,0.0,200.0,0.0
12,2897.0,1.0,0.0,200.0,0.0
13,3132.0,1.0,0.0,200.0,0.0
14,3365.0,1.0,0.0,200.0,0.0
15,3601.0,1.7,0.45825756949558394,200.0,0.0
16,3832.0,5.0,4.898979485566356,132.4,82.79275330607143
17,4060.0,1.0,0.0,200.0,0.0
18,4289.0,1.0,0.0,200.0,0.0
19,4517.0,1.0,0.0,200.0,0.0
20,4742.0,1.0,0.0,200.0,0.0
21,5196.0,1.0,0.0,200.0,0.0
22,5657.0,1.0,0.0,200.0,0.0
23,6105.0,5.0,4.898979485566356,179.6,26.85963514271927
24,6556.0,7.0,4.898979485566356,99.2,82.30285535751479
25,7008.0,1.0,0.0,200.0,0.0
26,7446.0,1.0,0.0,200.0,0.0
27,7888.0,11.0,0.0,37.0,0.0
28,8329.0,1.0,0.0,200.0,0.0
29,8772.0,2.0,0.0,200.0,0.0
30,9201.0,0.0,0.0,200.0,0.0
31,9648.0,0.0,0.0,200.0,0.0
32,10093.0,1.0,0.0,200.0,0.0
33,10527.0,0.0,0.0,200.0,0.0
34,10964.0,1.0,0.0,200.0,0.0
35,11409.0,0.0,0.0,200.0,0.0
36,11851.0,1.0,0.0,200.0,0.0
37,12279.0,1.0,0.0,200.0,0.0
38,12712.0,1.0,0.0,200.0,0.0
39,13151.0,2.0,0.0,200.0,0.0
40,13592.0,1.0,0.0,200.0,0.0
41,14027.0,2.0,0.0,200.0,0.0
42,14461.0,1.0,0.0,200.0,0.0
43,14910.0,2.0,0.0,200.0,0.0
44,15344.0,1.0,0.0,200.0,0.0
45,15779.0,2.9,2.7,183.0,51.0
46,16213.0,1.0,0.0,200.0,0.0
47,16659.0,1.0,0.0,200.0,0.0
48,17098.0,1.0,0.0,200.0,0.0
49,17540.0,2.0,0.0,200.0,0.0
50,17978.0,2.0,0.0,200.0,0.0
