,episodes,mean_reward,std_reward,mean_steps,std_steps
0,21.0,0.0,0.0,200.0,0.0
1,228.0,0.0,0.0,200.0,0.0
2,459.0,0.0,0.0,200.0,0.0
3,695.0,1.0,0.0,200.0,0.0
4,942.0,0.0,0.0,200.0,0.0
5,1194.0,0.0,0.0,200.0,0.0
6,1450.0,1.0,0.0,200.0,0.0
7,1697.0,0.0,0.0,200.0,0.0
8,1935.0,0.0,0.0,200.0,0.0
9,2179.0,0.0,0.0,200.0,0.0
10,2433.0,1.0,0.0,200.0,0.0
11,2681.0,1.0,0.0,200.0,0.0
12,2932.0,1.0,0.0,200.0,0.0
13,3179.0,1.0,0.0,200.0,0.0
14,3437.0,1.0,0.0,200.0,0.0
15,3684.0,1.0,0.0,200.0,0.0
16,3935.0,1.0,0.0,200.0,0.0
17,4197.0,1.0,0.0,200.0,0.0
18,4455.0,1.0,0.0,200.0,0.0
19,4713.0,0.0,0.0,200.0,0.0
20,4984.0,1.0,0.0,200.0,0.0
21,5547.0,1.0,0.0,200.0,0.0
22,6163.0,1.0,0.0,200.0,0.0
23,6964.0,1.0,0.0,200.0,0.0
24,7936.0,13.0,0.0,63.0,0.0
25,9179.0,13.0,0.0,63.0,0.0
26,10547.0,13.0,0.0,57.0,0.0
27,11926.0,12.0,0.0,57.0,0.0
28,13301.0,12.0,0.0,60.0,0.0
29,14685.0,13.0,0.0,57.0,0.0
30,16042.0,13.0,0.0,57.0,0.0
31,17435.0,13.0,0.0,61.0,0.0
32,18860.0,13.0,0.0,61.0,0.0
33,20271.0,13.0,0.0,61.0,0.0
34,21735.0,13.0,0.0,60.0,0.0
35,23118.0,13.0,0.0,62.6,2.9393876913398134
36,24536.0,13.0,0.0,57.0,0.0
37,25946.0,13.0,0.0,65.0,0.0
38,27350.0,13.0,0.0,66.0,0.0
39,28713.0,13.0,0.0,64.0,0.0
40,30150.0,13.0,0.0,62.0,0.0
