,episodes,mean_reward,std_reward,mean_steps,std_steps
0,21.0,0.0,0.0,200.0,0.0
1,238.0,0.0,0.0,200.0,0.0
2,466.0,0.0,0.0,200.0,0.0
3,703.0,0.0,0.0,200.0,0.0
4,931.0,2.4,3.2310988842807022,187.4,37.8
5,1167.0,5.0,4.58257569495584,158.9,62.78128702089501
6,1407.0,0.0,0.0,200.0,0.0
7,1643.0,2.0,0.0,200.0,0.0
8,1879.0,2.0,0.0,200.0,0.0
9,2121.0,2.0,0.0,200.0,0.0
10,2366.0,12.0,0.0,60.0,0.0
11,2622.0,2.0,0.0,200.0,0.0
12,2868.0,3.0,0.0,200.0,0.0
13,3119.0,2.0,0.0,200.0,0.0
14,3370.0,2.4,0.48989794855663565,200.0,0.0
15,3643.0,3.0,0.0,200.0,0.0
16,3909.0,12.0,0.0,73.0,0.0
17,4185.0,2.0,0.0,200.0,0.0
18,4461.0,1.8,0.4,200.0,0.0
19,4749.0,3.0,0.0,200.0,0.0
20,5037.0,2.0,0.0,200.0,0.0
21,5617.0,11.0,0.0,31.0,0.0
22,6195.0,12.0,0.0,39.6,1.2
23,6793.0,9.0,4.58257569495584,85.9,74.6959838277802
24,7394.0,12.0,0.0,57.6,0.4898979485566356
25,7988.0,11.0,0.0,30.2,0.9797958971132712
26,8593.0,11.0,0.0,34.0,0.0
27,9215.0,4.0,4.0,185.0,30.01333037168651
28,9889.0,11.0,0.0,38.0,0.0
29,10533.0,1.0,0.0,200.0,0.0
30,11316.0,11.0,0.0,30.8,0.9797958971132712
31,12477.0,12.0,0.0,37.0,0.0
32,13926.0,11.0,0.0,33.0,0.0
33,15504.0,11.0,0.0,29.0,0.0
34,17093.0,11.0,0.0,29.0,0.0
35,18765.0,11.0,0.0,29.3,0.45825756949558394
