,episodes,mean_reward,std_reward,mean_steps,std_steps
0,23.0,4.0,0.0,200.0,0.0
1,459.0,4.0,0.0,200.0,0.0
2,918.0,3.8,0.9797958971132713,200.0,0.0
3,1356.0,4.0,0.0,200.0,0.0
4,1806.0,4.7,0.45825756949558405,200.0,0.0
5,2265.0,4.0,0.0,200.0,0.0
6,2704.0,5.0,0.0,200.0,0.0
7,3149.0,5.0,0.0,200.0,0.0
8,3595.0,5.0,0.0,200.0,0.0
9,4040.0,5.0,0.0,200.0,0.0
10,4482.0,5.0,0.0,200.0,0.0
11,4934.0,4.0,0.0,200.0,0.0
12,5386.0,5.0,0.0,200.0,0.0
13,5836.0,4.0,0.0,200.0,0.0
14,6274.0,4.8,0.39999999999999997,200.0,0.0
15,6717.0,4.0,0.0,200.0,0.0
16,7394.0,4.0,0.0,200.0,0.0
17,8061.0,2.0,0.0,200.0,0.0
18,8730.0,3.0,0.0,200.0,0.0
19,9388.0,5.0,0.0,200.0,0.0
20,10051.0,4.0,0.0,200.0,0.0
21,10740.0,4.0,0.0,200.0,0.0
22,11411.0,5.0,0.0,200.0,0.0
23,12069.0,6.0,0.0,200.0,0.0
24,12744.0,5.0,0.0,200.0,0.0
25,13403.0,6.0,0.0,200.0,0.0
